age,job_n,marital_n,education_n,housing_n,month_n,pdays_n,duration,cons.conf.idx
31,6,0,6,0,3,0,551,-36.1
31,2,1,1,1,2,0,167,-33.6
39,3,0,0,2,0,0,155,-46.2
32,2,1,6,1,3,0,275,-36.1
34,9,0,0,1,0,0,267,-36.4
29,1,1,4,1,2,0,105,-42.7
33,2,0,6,1,0,0,895,-46.2
28,10,0,0,0,2,0,482,-42.7
54,3,0,3,0,3,0,112,-36.1
55,7,0,1,1,2,0,57,-42.7
70,5,0,4,0,3,0,70,-31.4
48,6,0,3,1,0,0,955,-46.2
33,2,1,6,1,1,0,342,-41.8
32,4,0,1,1,5,0,352,-42.0
32,3,0,3,1,0,0,297,-46.2
47,3,0,0,1,1,0,74,-41.8
43,3,0,3,1,0,0,20,-46.2
38,2,0,6,1,3,0,226,-36.1
34,3,1,2,1,0,0,67,-46.2
51,4,0,4,0,1,0,147,-41.8
34,2,1,6,0,1,0,98,-41.8
41,3,0,5,0,0,0,217,-36.4
31,2,1,6,1,3,0,239,-38.3
59,6,0,6,0,3,0,414,-36.1
35,4,1,4,1,3,0,120,-36.1
34,4,1,4,1,3,0,110,-36.1
32,7,0,1,0,9,0,6,-37.5
46,3,0,0,1,1,0,346,-41.8
56,3,0,3,1,0,0,260,-36.4
34,7,0,1,2,2,0,94,-42.7
58,8,0,6,1,3,0,173,-36.1
51,3,0,3,0,0,0,22,-46.2
28,3,0,3,0,1,0,167,-41.8
82,5,1,0,1,4,0,185,-26.9
47,2,0,6,1,2,0,231,-42.7
25,3,1,2,0,2,0,1127,-42.7
41,6,0,6,1,0,0,205,-36.4
21,7,1,1,1,2,0,203,-33.6
43,4,1,6,1,1,0,100,-41.8
29,2,1,6,1,0,0,1273,-36.4
68,5,1,6,1,9,0,80,-29.8
67,5,0,4,0,9,0,116,-37.5
28,4,0,3,2,2,0,153,-42.7
44,7,2,2,0,0,0,208,-46.2
49,10,0,0,0,8,0,383,-47.1
33,4,1,6,1,0,0,152,-46.2
40,1,0,1,0,0,0,74,-46.2
41,1,0,3,1,1,0,404,-41.8
68,5,0,4,2,0,0,237,-40.0
38,8,1,5,1,2,0,55,-42.7
27,3,1,3,1,0,0,47,-46.2
47,4,2,1,1,2,0,149,-42.7
50,4,0,4,1,3,0,272,-36.1
34,2,0,6,1,0,0,37,-36.4
37,2,1,6,1,2,0,271,-42.7
35,1,1,0,0,0,0,240,-36.4
43,6,0,6,0,5,0,1192,-42.0
47,3,0,1,0,0,0,168,-46.2
49,2,1,1,0,0,0,363,-36.4
34,2,0,6,0,5,0,140,-42.0
37,2,1,6,1,0,0,355,-36.4
39,1,0,2,1,2,0,183,-42.7
42,2,0,4,1,0,0,174,-46.2
28,3,0,0,1,2,0,1820,-42.7
36,3,0,3,0,0,0,300,-36.4
40,3,0,4,0,2,0,81,-42.7
29,0,1,1,0,0,0,1203,-36.4
27,11,1,3,1,3,0,111,-38.3
33,2,0,6,0,1,0,335,-40.8
56,5,0,0,0,3,0,687,-36.1
39,2,0,1,1,8,0,149,-47.1
33,3,1,1,0,0,0,222,-46.2
59,6,0,0,1,7,0,284,-34.8
25,3,1,3,1,2,0,467,-42.7
35,2,0,6,1,0,0,763,-46.2
30,2,1,1,1,0,3,245,-46.2
60,7,0,0,0,5,1,627,-30.1
34,6,0,6,1,1,0,280,-41.8
41,3,1,2,0,2,0,225,-42.7
35,2,0,6,0,3,0,337,-36.1
42,3,0,3,1,1,0,516,-41.8
33,2,0,1,0,0,0,316,-46.2
35,3,0,3,1,0,0,63,-46.2
41,4,1,4,2,0,0,136,-36.4
32,4,1,4,1,3,0,128,-36.1
53,7,0,0,1,0,0,339,-36.4
35,3,0,4,0,8,0,317,-47.1
37,8,1,6,0,0,0,101,-46.2
31,3,0,3,0,0,0,212,-46.2
36,3,0,3,0,0,0,360,-36.4
44,4,0,1,1,0,0,363,-36.4
35,6,1,6,0,5,0,201,-42.0
36,1,1,6,0,3,0,394,-38.3
29,4,1,6,1,8,0,210,-47.1
50,2,1,1,1,6,0,705,-33.0
35,6,1,6,1,2,0,590,-42.7
33,2,0,1,1,0,0,495,-46.2
34,4,2,5,1,2,0,190,-42.7
58,5,0,0,0,2,0,119,-42.7
52,3,3,0,2,0,0,610,-46.2
56,2,0,1,1,2,0,661,-42.7
55,5,0,6,1,0,0,720,-36.4
33,3,0,0,0,5,0,419,-42.0
57,5,1,6,1,2,0,75,-42.7
53,2,0,6,0,1,0,541,-41.8
40,6,0,6,1,0,0,358,-36.4
40,4,0,4,1,3,0,100,-36.1
55,5,2,4,1,1,0,69,-41.8
51,4,0,4,1,8,6,687,-47.1
33,6,1,6,2,0,0,131,-36.4
45,6,2,6,1,2,0,192,-42.7
56,2,0,0,1,2,0,118,-42.7
36,8,2,6,1,1,0,130,-41.8
40,6,0,6,1,1,0,295,-40.8
33,2,0,6,0,7,0,119,-34.8
57,3,0,0,0,0,0,80,-36.4
36,1,1,2,1,0,0,501,-36.4
42,3,0,5,0,0,0,428,-46.2
33,2,0,1,0,0,0,105,-46.2
80,5,2,0,1,9,0,378,-37.5
32,6,0,6,1,0,0,36,-46.2
37,6,0,3,0,0,0,30,-36.4
48,4,0,4,1,2,0,616,-42.7
31,2,0,6,0,3,0,35,-36.1
44,8,0,4,1,5,0,47,-42.0
57,5,0,5,0,0,0,205,-36.4
53,3,0,0,1,5,0,98,-42.0
42,3,0,0,0,0,0,332,-36.4
50,0,2,0,1,0,0,292,-36.4
31,1,1,1,1,5,0,88,-42.0
31,10,0,1,1,5,0,360,-42.0
55,3,0,0,0,0,0,1581,-36.4
47,2,0,6,1,0,0,147,-36.4
38,0,0,2,1,0,0,87,-36.4
49,3,2,1,1,0,0,204,-46.2
47,8,0,3,1,5,0,258,-42.0
29,2,1,6,1,5,0,190,-42.0
70,5,0,0,0,6,0,546,-33.0
30,4,1,4,0,0,0,34,-46.2
32,1,1,4,1,2,0,671,-42.7
31,3,1,1,0,0,0,209,-36.4
34,6,1,6,0,0,0,662,-46.2
53,2,0,6,1,3,0,67,-36.1
56,2,0,1,0,3,0,87,-36.1
49,0,0,0,0,8,0,115,-47.1
32,3,0,4,0,1,0,459,-41.8
41,8,1,6,1,1,0,640,-41.8
58,6,0,0,1,5,0,70,-30.1
50,0,2,0,0,0,0,339,-36.4
36,3,0,2,1,1,0,614,-41.8
37,4,0,4,0,1,0,214,-41.8
37,3,1,1,0,2,0,31,-42.7
24,2,0,3,1,0,0,764,-36.4
38,4,0,1,0,3,0,89,-36.1
35,6,0,6,1,3,0,284,-36.1
42,6,0,6,1,5,0,178,-42.0
39,8,0,0,1,1,0,164,-41.8
77,5,0,5,1,0,0,318,-40.0
58,6,0,6,1,5,0,240,-42.0
56,6,0,5,0,0,0,70,-36.4
27,3,0,0,1,0,0,51,-36.4
35,2,0,6,1,1,0,463,-41.8
42,6,0,6,0,1,0,236,-41.8
43,2,0,6,1,5,0,209,-42.0
32,3,1,1,0,0,0,329,-46.2
35,6,0,6,0,5,0,207,-42.0
48,1,0,1,0,3,0,96,-36.1
41,3,0,2,0,0,0,13,-36.4
65,2,0,6,1,4,0,120,-26.9
25,8,2,6,1,8,0,227,-47.1
32,4,1,1,1,0,0,491,-46.2
39,2,0,6,0,8,0,94,-47.1
26,2,1,1,0,2,0,136,-42.7
36,3,0,3,1,0,0,597,-36.4
33,6,1,6,0,1,0,257,-41.8
35,10,0,1,0,2,0,121,-42.7
85,0,2,0,1,4,0,181,-26.9
57,6,0,3,1,1,0,30,-41.8
44,3,1,0,1,7,0,1530,-50.0
48,1,0,1,1,0,0,243,-36.4
41,2,0,1,2,1,0,548,-41.8
28,4,1,6,1,7,0,120,-50.0
30,2,1,6,0,1,0,482,-40.8
34,2,0,4,0,7,0,364,-34.8
28,2,1,6,0,0,0,497,-46.2
36,2,1,5,0,2,0,209,-42.7
34,2,1,6,0,0,0,262,-36.4
43,8,2,6,0,0,0,87,-36.4
56,3,0,1,1,3,0,69,-36.1
56,1,2,0,0,1,0,42,-41.8
48,3,0,3,1,0,0,64,-46.2
27,3,0,1,2,0,0,74,-46.2
39,6,0,1,1,0,0,52,-36.4
36,6,0,6,1,1,0,135,-41.8
35,2,1,6,0,1,0,320,-41.8
35,1,0,1,1,0,0,257,-46.2
28,1,1,1,0,0,0,99,-46.2
44,3,2,2,0,2,0,580,-42.7
42,3,0,3,0,1,0,213,-41.8
56,4,0,4,2,5,0,44,-42.0
33,3,1,0,0,0,0,209,-46.2
55,3,0,3,1,3,0,142,-36.1
72,5,0,0,1,2,0,268,-40.3
34,3,1,0,1,1,0,101,-41.8
48,4,0,1,1,2,0,97,-42.7
59,9,0,5,0,0,0,113,-36.4
32,6,1,4,0,0,0,365,-46.2
46,2,0,2,0,8,0,278,-47.1
35,2,1,6,1,0,0,536,-46.2
35,3,2,3,0,0,0,521,-36.4
60,2,0,6,0,3,0,515,-36.1
32,10,0,1,1,0,0,325,-46.2
29,2,1,6,0,0,0,226,-46.2
36,2,2,1,1,1,0,354,-41.8
30,4,0,4,1,0,0,156,-46.2
46,4,2,4,0,3,0,308,-36.1
36,3,0,1,1,2,0,147,-42.7
32,0,1,0,0,0,0,477,-36.4
47,1,2,1,0,3,0,819,-36.1
41,3,0,3,0,1,0,256,-41.8
33,10,1,6,0,0,0,197,-46.2
43,3,0,2,1,1,0,51,-41.8
29,2,1,1,1,3,0,63,-36.1
51,6,0,6,1,1,0,409,-41.8
30,3,1,3,0,0,0,36,-36.4
35,4,1,6,1,3,0,154,-36.1
27,3,1,3,0,2,0,127,-42.7
28,10,1,4,1,0,0,240,-46.2
47,3,0,4,1,0,0,131,-36.4
59,4,0,4,0,0,0,206,-36.4
53,5,0,1,0,2,0,720,-42.7
31,2,1,1,0,2,0,355,-42.7
54,0,2,0,0,0,0,382,-36.4
40,4,0,4,0,1,0,119,-41.8
40,3,0,5,0,2,0,117,-42.7
48,3,0,3,1,0,0,262,-36.4
34,3,0,0,1,2,0,528,-42.7
36,3,0,3,1,0,0,180,-46.2
39,3,0,0,0,0,0,166,-46.2
56,5,0,4,0,4,3,133,-26.9
45,1,0,1,0,3,0,239,-36.1
33,6,1,6,1,8,0,1176,-47.1
29,2,0,1,1,0,0,181,-36.4
39,3,0,3,1,0,0,257,-46.2
35,2,1,6,1,3,0,773,-36.1
51,3,0,0,0,0,0,665,-36.4
54,4,0,1,1,8,0,94,-47.1
50,4,1,6,1,3,0,178,-36.1
43,4,1,3,1,1,0,461,-41.8
48,10,0,5,0,0,0,509,-36.4
54,4,0,4,1,3,0,14,-36.1
24,4,1,4,0,0,0,421,-36.4
32,1,1,1,1,0,0,583,-46.2
24,1,1,4,1,2,0,349,-42.7
23,11,1,5,0,2,17,165,-40.3
36,2,0,6,1,2,0,230,-42.7
29,2,1,6,1,3,0,20,-36.1
53,0,0,5,1,5,0,104,-42.0
30,6,0,6,1,9,0,221,-29.8
33,3,0,1,0,0,0,272,-46.2
34,0,2,6,1,8,0,73,-47.1
44,3,1,5,1,2,0,576,-33.6
31,2,2,6,1,3,0,77,-36.1
30,3,2,3,1,0,0,25,-36.4
48,2,0,3,0,0,0,19,-36.4
50,2,2,6,0,3,0,130,-36.1
40,3,1,3,1,0,0,8,-46.2
55,1,1,1,0,0,0,107,-46.2
28,4,1,4,2,8,0,71,-47.1
26,4,1,4,0,2,0,83,-42.7
40,1,0,1,0,8,0,377,-47.1
53,6,0,6,0,0,0,147,-46.2
33,2,0,6,1,8,0,355,-47.1
36,2,3,6,1,3,0,529,-36.1
52,3,0,0,1,2,0,2015,-42.7
33,3,1,2,0,0,0,472,-36.4
45,1,0,1,0,0,0,166,-46.2
27,1,1,1,1,0,0,88,-46.2
48,2,2,1,0,0,0,66,-36.4
41,3,0,4,1,1,0,591,-41.8
33,2,0,6,1,3,0,81,-36.1
47,2,0,1,0,5,0,21,-42.0
50,10,0,0,1,2,0,175,-42.7
53,9,0,0,1,3,0,23,-36.1
57,4,2,0,1,0,0,452,-36.4
32,2,0,6,1,3,0,124,-36.1
38,2,0,6,0,1,0,142,-41.8
37,3,1,5,0,0,0,293,-36.4
25,3,1,1,1,0,0,139,-36.4
32,2,1,6,0,1,0,255,-40.8
33,2,0,4,2,0,0,110,-46.2
40,3,2,3,0,1,0,479,-41.8
39,4,0,4,0,0,0,31,-46.2
44,1,0,1,1,0,0,1263,-36.4
29,6,1,3,0,2,0,968,-42.7
28,2,1,1,0,2,0,70,-42.7
31,3,1,4,0,0,0,99,-36.4
35,2,0,1,1,0,0,12,-46.2
40,2,0,1,1,3,0,105,-36.1
34,10,0,6,1,3,0,343,-36.1
33,6,0,6,1,0,0,396,-36.4
31,6,0,6,0,0,0,130,-46.2
49,1,0,1,0,1,0,374,-41.8
50,2,0,6,1,2,0,567,-33.6
57,5,2,4,0,1,0,203,-41.8
54,5,0,0,1,8,0,420,-47.1
49,4,0,5,1,2,0,160,-42.7
38,2,0,6,0,0,0,11,-46.2
34,3,0,3,0,1,0,302,-41.8
50,10,0,6,0,5,0,134,-42.0
51,3,0,0,1,2,0,199,-42.7
41,2,1,1,0,0,0,76,-36.4
31,10,3,6,0,4,0,164,-26.9
58,5,2,6,1,0,0,83,-36.4
49,1,0,0,0,3,0,575,-36.1
56,2,0,0,1,2,0,105,-42.7
31,4,0,4,1,0,0,239,-46.2
42,2,2,6,0,3,0,56,-36.1
43,2,0,5,1,2,0,121,-42.7
27,2,0,1,1,2,0,164,-42.7
31,3,0,0,1,0,0,650,-36.4
33,2,0,6,1,3,0,1834,-36.1
34,10,0,4,1,0,0,53,-36.4
40,2,1,1,1,2,0,172,-42.7
36,4,1,4,1,1,0,569,-40.8
44,4,0,4,1,0,0,245,-36.4
35,3,0,2,1,1,0,64,-41.8
25,2,1,3,0,2,0,81,-42.7
34,2,0,6,1,0,0,154,-36.4
31,3,1,1,1,5,0,359,-42.0
43,2,0,6,1,0,0,2016,-36.4
25,3,1,3,1,2,0,212,-42.7
34,2,1,6,0,8,0,142,-47.1
32,2,1,6,1,5,0,718,-42.0
37,1,0,1,1,0,0,26,-46.2
27,2,1,1,1,5,0,24,-42.0
36,4,1,6,1,0,0,317,-46.2
34,3,1,3,0,5,0,127,-42.0
51,1,0,5,0,3,0,547,-36.1
26,4,1,4,1,1,0,102,-40.8
